poi_name,category,source_keyword,address,distance,lat,lng,telephone,pet_friendly_status,confidence_level,evidence_source,evidence_text,suitable_pet_size,space_type,crowd_level,pet_stress_level,risk_note,transaction_action,route_role
阿嬷手作(南京德基广场店),美食;其他,新街口 茶饮,新街口街道青石街中山南路18号德基广场一期B119,1170,32.049701,118.791894,18168047886,待确认,低,百度地图 Place API + 轻量关键词规则,开放空间或街区类 POI，需人工确认携宠规则,小型犬/中型犬,开放空间,中,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,散步/休息节点
Yes Lemon就是柠·手打柠檬茶(南京大洋百货店),美食;其他,新街口 茶饮,中山南路122号B1-B15,684,32.044994,118.790084,17749528468,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,室内/商场,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00；室内区域是否允许携宠需确认,出发前确认,候选节点
百分茶(丰富路店),美食;其他,新街口 茶饮,丰富路201号(新街口地铁站15号口步行360米),478,32.043938,118.788279,15251237893,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
CoCo都可(南京珠江路店),美食;其他,新街口 茶饮,珠江路16号,1804,32.056179,118.792256,18020163617,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
CoCo都可(成贤店),美食;其他,新街口 茶饮,珠江路401号,2317,32.055935,118.801837,13952003867,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
油条茶馓店,美食,新街口 茶饮,江苏省南京市玄武区新街口街道进香河路14号,2172,32.057816,118.796787,,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
奈雪的茶(金鹰新街口店),美食;其他,新街口 茶饮,汉中路101号金鹰新街口店B座负1楼,724,32.047844,118.785829,,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
KOI Thé(金鹰新街口店),美食;其他,新街口 茶饮,汉中路89号金鹰国际购物中心内B座负一层B-FB1031商铺,715,32.047853,118.78531,(025)85300920,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
霸王茶姬(新街口新百店),美食;其他,新街口 茶饮,朝天宫街道中山南路1号南京新百A座B1层（地铁8出入口）,917,32.047388,118.79092,17351030393,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
CoCo都可(丹凤街店),美食;其他,新街口 茶饮,丹凤街尖角营小区31号楼1楼101室,2386,32.06144,118.793473,18255011767,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
茶百道(丹凤街店),美食;其他,新街口 茶饮,新街口街道唱经楼西街1号-4,2154,32.059229,118.793312,18151802724,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
